IssueID,FeatureDescription,AcceptanceCriteria,CurrentStatus,OutcomeAfterRelease,ReopenedIssue,CreatedDate
GAB-1125,Story tone selection mapping,User can answer personality questions without form reset,QA Testing,No noticeable impact,Yes,2026-01-31
GAB-1126,Checkout payment processing,Selected gender is reflected correctly in story text,QA Testing,Caused user confusion,No,2026-02-18
GAB-1127,Book cover generation step,Relationship options are clearly visible and selectable,In Progress,Minor issues found,Yes,2026-02-03
GAB-1128,Main character name field,Selected gender is reflected correctly in story text,QA Testing,Improved completion rate,No,2026-01-02
GAB-1129,Book type selection UI,User can answer personality questions without form reset,QA Testing,Worked as expected,No,2026-02-03
GAB-1130,Gender selection accuracy,User can select one of multiple generated covers,QA Testing,Worked as expected,Yes,2026-01-21
GAB-1131,Additional characters input handling,Occasion must be selectable before moving forward,Released,Caused user confusion,No,2026-02-05
GAB-1132,Gender selection accuracy,User must select a book type before continuing,Released,No noticeable impact,Yes,2026-01-10
GAB-1133,Main character name field,Main character name is saved and reflected in story,Backlog,No noticeable impact,Yes,2026-02-28
GAB-1134,Photo upload reliability,Relationship options are clearly visible and selectable,Done,Caused user confusion,No,2026-02-26
GAB-1135,Additional characters input handling,User can enter recipient name without validation errors for normal names,In Progress,Minor issues found,No,2026-02-22
GAB-1136,Relationship selection clarity,Payment confirmation shown after successful transaction,Released,Worked as expected,Yes,2026-01-31
GAB-1137,Main character name field,Selected tone influences narrative style,Released,Worked as expected,No,2026-02-17
GAB-1138,Email delivery after purchase,Preview loads within acceptable time,QA Testing,Improved completion rate,No,2026-02-02
GAB-1139,Checkout payment processing,Selected gender is reflected correctly in story text,Backlog,Caused user confusion,Yes,2026-02-25
GAB-1140,Checkout payment processing,Selected tone influences narrative style,QA Testing,No noticeable impact,Yes,2026-01-13
GAB-1141,Book cover generation step,User can answer personality questions without form reset,Done,Worked as expected,No,2026-02-22
GAB-1142,Occasion selection step,Relationship options are clearly visible and selectable,Done,Minor issues found,No,2026-02-05
GAB-1143,Story preview loading performance,User can answer personality questions without form reset,In Progress,Worked as expected,No,2026-01-10
GAB-1144,Photo upload reliability,Occasion must be selectable before moving forward,Released,Improved completion rate,Yes,2026-02-05
GAB-1145,Book type selection UI,Payment confirmation shown after successful transaction,In Progress,Worked as expected,Yes,2026-01-13
GAB-1146,Recipient name input validation,Photo upload accepts JPG/PNG up to size limit,Done,Minor issues found,Yes,2026-01-30
GAB-1147,Photo upload reliability,Preview loads within acceptable time,Done,No noticeable impact,Yes,2026-01-17
GAB-1148,Book cover generation step,Relationship options are clearly visible and selectable,In Progress,Improved completion rate,Yes,2026-01-17
GAB-1149,Story preview loading performance,Selected tone influences narrative style,In Progress,Minor issues found,No,2026-01-16
GAB-1150,Recipient name input validation,User can select one of multiple generated covers,Released,Minor issues found,No,2026-01-05
GAB-1151,Additional characters input handling,Book is emailed automatically after successful payment,In Progress,Worked as expected,No,2026-01-20
GAB-1152,Occasion selection step,Relationship options are clearly visible and selectable,In Progress,Improved completion rate,Yes,2026-02-17
GAB-1153,Personality questions flow,User can select one of multiple generated covers,Backlog,Caused user confusion,Yes,2026-01-02
GAB-1154,Recipient name input validation,Payment confirmation shown after successful transaction,Backlog,Minor issues found,No,2026-02-03
GAB-1155,Occasion selection step,User can enter recipient name without validation errors for normal names,Backlog,No noticeable impact,No,2026-02-07
GAB-1156,Recipient name input validation,Book is emailed automatically after successful payment,In Progress,Minor issues found,No,2026-02-09
GAB-1157,Book cover generation step,User can answer personality questions without form reset,Released,No noticeable impact,No,2026-01-28
GAB-1158,Email delivery after purchase,Preview loads within acceptable time,Released,Improved completion rate,No,2026-01-02
GAB-1159,Additional characters input handling,Payment confirmation shown after successful transaction,QA Testing,Improved completion rate,Yes,2026-01-30
GAB-1160,Personality questions flow,User must select a book type before continuing,Done,Caused user confusion,Yes,2026-01-08
GAB-1161,Book type selection UI,Payment confirmation shown after successful transaction,Backlog,Minor issues found,No,2026-02-02
GAB-1162,Personality questions flow,Other characters appear in generated story context,Done,No noticeable impact,Yes,2026-02-24
GAB-1163,Personality questions flow,Occasion must be selectable before moving forward,Released,Improved completion rate,Yes,2026-02-26
GAB-1164,Additional characters input handling,Relationship options are clearly visible and selectable,QA Testing,No noticeable impact,Yes,2026-01-03
GAB-1165,Additional characters input handling,User can select one of multiple generated covers,Released,Minor issues found,No,2026-01-12
GAB-1166,Relationship selection clarity,User can select one of multiple generated covers,QA Testing,No noticeable impact,Yes,2026-01-25
GAB-1167,Story preview loading performance,Payment confirmation shown after successful transaction,Backlog,Worked as expected,Yes,2026-02-06
GAB-1168,Relationship selection clarity,Selected gender is reflected correctly in story text,Done,No noticeable impact,Yes,2026-01-30
GAB-1169,Gender selection accuracy,Photo upload accepts JPG/PNG up to size limit,In Progress,Improved completion rate,Yes,2026-01-14
GAB-1170,Book cover generation step,User can answer personality questions without form reset,Backlog,Minor issues found,Yes,2026-01-07
GAB-1171,Relationship selection clarity,User must select a book type before continuing,Released,Caused user confusion,No,2026-01-12
GAB-1172,Gender selection accuracy,Relationship options are clearly visible and selectable,QA Testing,Improved completion rate,No,2026-02-28
GAB-1173,Recipient name input validation,Book is emailed automatically after successful payment,QA Testing,Worked as expected,Yes,2026-01-26
GAB-1174,Photo upload reliability,Selected gender is reflected correctly in story text,In Progress,Improved completion rate,Yes,2026-01-25
GAB-1175,Gender selection accuracy,Other characters appear in generated story context,Released,Minor issues found,No,2026-01-06
GAB-1176,Checkout payment processing,User can enter recipient name without validation errors for normal names,QA Testing,Improved completion rate,Yes,2026-01-16
GAB-1177,Recipient name input validation,Relationship options are clearly visible and selectable,Released,Improved completion rate,Yes,2026-02-21
GAB-1178,Additional characters input handling,User can enter recipient name without validation errors for normal names,Done,Caused user confusion,Yes,2026-02-22
GAB-1179,Email delivery after purchase,Preview loads within acceptable time,Done,Improved completion rate,Yes,2026-01-08
GAB-1180,Photo upload reliability,User can answer personality questions without form reset,Released,Worked as expected,Yes,2026-02-02
GAB-1181,Gender selection accuracy,User can answer personality questions without form reset,Done,Minor issues found,No,2026-02-19
GAB-1182,Main character name field,Other characters appear in generated story context,In Progress,Caused user confusion,No,2026-01-12
GAB-1183,Recipient name input validation,User can enter recipient name without validation errors for normal names,Done,Caused user confusion,No,2026-02-26
GAB-1184,Checkout payment processing,User can answer personality questions without form reset,Done,Caused user confusion,Yes,2026-01-06
GAB-1185,Book cover generation step,Book is emailed automatically after successful payment,Released,Caused user confusion,Yes,2026-01-29
GAB-1186,Occasion selection step,Payment confirmation shown after successful transaction,Backlog,Caused user confusion,Yes,2026-02-16
GAB-1187,Story preview loading performance,Payment confirmation shown after successful transaction,Backlog,Improved completion rate,Yes,2026-01-06
GAB-1188,Story tone selection mapping,User must select a book type before continuing,Backlog,No noticeable impact,Yes,2026-03-01
GAB-1189,Main character name field,User can enter recipient name without validation errors for normal names,Released,Minor issues found,No,2026-03-02
GAB-1190,Checkout payment processing,Book is emailed automatically after successful payment,QA Testing,Improved completion rate,Yes,2026-01-24
GAB-1191,Photo upload reliability,Other characters appear in generated story context,Done,Worked as expected,Yes,2026-01-19
GAB-1192,Email delivery after purchase,Selected tone influences narrative style,QA Testing,Minor issues found,Yes,2026-01-11
GAB-1193,Additional characters input handling,Book is emailed automatically after successful payment,Backlog,No noticeable impact,Yes,2026-01-09
GAB-1194,Occasion selection step,Payment confirmation shown after successful transaction,Done,No noticeable impact,Yes,2026-01-23
GAB-1195,Photo upload reliability,User can answer personality questions without form reset,QA Testing,Worked as expected,Yes,2026-02-06
GAB-1196,Additional characters input handling,User can answer personality questions without form reset,Backlog,Minor issues found,Yes,2026-01-05
GAB-1197,Recipient name input validation,Other characters appear in generated story context,Done,Caused user confusion,No,2026-02-22
GAB-1198,Book cover generation step,Relationship options are clearly visible and selectable,Backlog,Worked as expected,No,2026-01-18
GAB-1199,Relationship selection clarity,Other characters appear in generated story context,QA Testing,Caused user confusion,No,2026-01-15
